2|1|8 May 2019, 9:40 am|Test Message|Hey, Jason! This is Patrick. This is just a test message.|1
1|2|8 May 2019, 9:41 am|RE: Test Message|Cool beans, 'cause it WORKS!|1
2|1|8 May 2019, 9:41 am|RE: RE: Test Message|Here is some more back 'n' forth action.|1
2|1|8 May 2019, 9:41 am|RE: RE: Test Message|And even a double message!|1
2|1|8 May 2019, 9:41 am|RE: RE: Test Message|Alright, I'll stop now.|1
1|2|8 May 2019, 9:41 am|RE: RE: RE: Test Message|Thank you.|1
2|3|8 May 2019, 9:41 am|Special Message|Hello, William! This is a test message, crafted from the bottom of my heart, JUST FOR YOU!|1
2|4|8 May 2019, 9:42 am|Awesome Sound|Got awesome sound, goin' down|0
2|5|8 May 2019, 9:43 am|Welcome to EntreLink!|Hello, Professor Hake! Welcome to EntreLink!|1
2|6|8 May 2019, 9:44 am|Welcome to EntreLink!|Hello, John Doe! Welcome to EntreLink!|1
